missing	post	/team/{}/goal	Goals	Create Goal	CreateGoal	v2
missing	post	/team/{}/group	User Groups	Create Group	CreateUserGroup	v2
missing	post	/team/{}/guest	Guests	Invite Guest To Workspace	InviteGuestToWorkspace	v2
missing	post	/team/{}/space	Spaces	Create Space	CreateSpace	v2
implemented	post	/team/{}/time_entries	Time Tracking	Create a time entry	Createatimeentry	v2
missing	post	/team/{}/time_entries/start	Time Tracking	Start a time Entry	StartatimeEntry	v2
missing	post	/team/{}/time_entries/stop	Time Tracking	Stop a time Entry	StopatimeEntry	v2
missing	post	/team/{}/time_entries/tags	Time Tracking	Add tags from time entries	Addtagsfromtimeentries	v2
missing	post	/team/{}/user	Users	Invite User To Workspace	InviteUserToWorkspace	v2
missing	post	/team/{}/view	Views	Create Workspace (Everything level) View	CreateTeamView	v2
missing	post	/team/{}/webhook	Webhooks	Create Webhook	CreateWebhook	v2
missing	post	/view/{}/comment	Comments	Create Chat View Comment	CreateChatViewComment	v2
missing	put	/api/v3/workspaces/{}/docs/{}/pages/{}	Docs	Edit a Page	editPagePublic	v3
missing	put	/api/v3/workspaces/{}/tasks/{}/home_list/{}	Tasks	Move a task to a new List	moveTask	v3
missing	put	/checklist/{}	Task Checklists	Edit Checklist	EditChecklist	v2
missing	put	/checklist/{}/checklist_item/{}	Task Checklists	Edit Checklist Item	EditChecklistItem	v2
missing	put	/comment/{}	Comments	Update Comment	UpdateComment	v2
missing	put	/folder/{}	Folders	Update Folder	UpdateFolder	v2
missing	put	/goal/{}	Goals	Update Goal	UpdateGoal	v2
missing	put	/group/{}	User Groups	Update Group	UpdateTeam	v2
missing	put	/key_result/{}	Goals	Edit Key Result	EditKeyResult	v2
missing	put	/list/{}	Lists	Update List	UpdateList	v2
missing	put	/space/{}	Spaces	Update Space	UpdateSpace	v2
missing	put	/space/{}/tag/{}	Tags	Edit Space Tag	EditSpaceTag	v2
implemented	put	/task/{}	Tasks	Update Task	UpdateTask	v2
missing	put	/task/{}/time/{}	Time Tracking (Legacy)	Edit time tracked	Edittimetracked	v2
missing	put	/team/{}/guest/{}	Guests	Edit Guest On Workspace	EditGuestOnWorkspace	v2
missing	put	/team/{}/time_entries/tags	Time Tracking	Change tag names from time entries	Changetagnamesfromtimeentries	v2
missing	put	/team/{}/time_entries/{}	Time Tracking	Update a time Entry	UpdateatimeEntry	v2
missing	put	/team/{}/user/{}	Users	Edit User On Workspace	EditUserOnWorkspace	v2
missing	put	/view/{}	Views	Update View	UpdateView	v2
missing	put	/webhook/{}	Webhooks	Update Webhook	UpdateWebhook	v2
